MemberNo,Transaction Date,Comments,Amount
1723496,02/02/2026,School Fees ( Form 4 ),2024
1723494,02/02/2026,School Fees ( Form 4 ),2024
178354,02/02/2026,School Shoes & Bag,680
178354,02/02/2026,Stationery,680
178450,02/02/2026,Uniforms,1750
178450,02/02/2026,School Fees ( Form 4 ),5000
178530,02/02/2026,Transport ,600
178530,02/02/2026,School Fees ( Grade 1 ),1500
178446,02/02/2026,School Fees ( Form 5 ),1100
1758,02/02/2026,Zondle,300
1758,02/02/2026,School Fees ( Grade 4 ),500
1678,02/02/2026,Items For Practical Test ,410
1744,02/02/2026,Transport ,450
1694,02/02/2026,Pocket Money,390
1694,02/02/2026,Transport ,340
1693,02/02/2026,Pocket Money,390
1693,02/02/2026,Transport ,340
1693,02/02/2026,School Fees ( Form 3 ),3500
178414,02/02/2026,Transport ,600
178414,02/02/2026,School Fees ( Grade10 ),8780
178414,02/02/2026,Uniforms,1830
1723483,02/02/2026,Transport ,800
63,02/02/2026,Refund ( Registration Fee ),350
63,02/02/2026,Stationery,280
63,02/02/2026,Pocket Money for Educational Trip,300
178530,02/02/2026,Uniforms,2730
1723521,04/02/2026,Sports Track & School Shoes ),1080
178541,04/02/2026,School Tunic & T- Shirt,600
1030,04/02/2026,School Fees ( Grade 10),1200
1633,04/02/2026,School Shoes & Bag,830
1723403,04/02/2026,Pocket Money,480
1723403,04/02/2026,Transport ,480
1723403,04/02/2026,Exam Fee ( Form 5 ),4030
1723403,04/02/2026,School Fees ( Form 5 ),8450
1723450,04/02/2026,School Fees ( Form 2 ),4051
178453,04/02/2026,School Fees ( Form 4 ),2850
1745,04/02/2026,Uniforms,2240
1723438,04/02/2026,Transport ,900
1723520,04/02/2026,Stationery,1156.86
1723520,04/02/2026,School Bag,500
1723528,04/02/2026,Valentine & Fun Day,110
1723528,04/02/2026,Educational Trip,300
1723528,04/02/2026,Graduation Fee,400
1723528,04/02/2026,School Fees ( Pre- School ),3900
178486,04/02/2026,Uniforms,2310
1723522,04/02/2026,School Jersey ( Sports Track ),1150
1615,04/02/2026,Uniforms,1465
361,04/02/2026,Tuition Fee (North West University ),29309
1723470,04/02/2026,School Fees ( Grade 11 ),20779
1723434,04/02/2026,Transport ,500
361,04/02/2026,Cellphone Purchase,7800
178504,04/02/2026,Uniforms,690
178504,04/02/2026,Refund ( School Fees ),5300
1723396,04/02/2026,School Fees ( Form 4 ),3600
1723395,04/02/2026,School Fees ( Form 3 ),3000
1723395,04/02/2026,"School Fees F2, 2025 )",4200
178397,04/02/2026,Transport ,1000
178499,04/02/2026,Transport ( 2 Months),840
178498,04/02/2026,Transport ( 2 Months),840
178497,04/02/2026,Transport ( 2 Months),840
178496,04/02/2026,Transport ( 2 Months),840
178494,04/02/2026,Transport ( 2 Months),840
178373,04/02/2026,Lunchbox,400
178373,04/02/2026,Toiletries,140
178373,04/02/2026,Stationery,130
178534,04/02/2026,Practical Fees ( Computer Lab & Health Science ),395.03
178534,04/02/2026,Library Fee,79.01
178534,04/02/2026,Internet Connectivity,158.01
178534,04/02/2026,Student Card,79.01
178534,04/02/2026,Registration Fee,197.51
178534,04/02/2026,Tuition Fee (Zambia),7900.51
178533,04/02/2026,Exam Fee,726.85
178533,04/02/2026,Tuition Fee (Zambia),5925.38
1278,04/02/2026,Transport ,800
1593,05/02/2026,School Fees ( Form 2 ),4155
1734,05/02/2026,Transport ,250
1734,05/02/2026,Refund ( School Fees Deposit),3800
1734,05/02/2026,School Fees Balance ( F4 ),1247
178398,05/02/2026,"Refund ( Accommodation & Admin, Acceptance Fee & Student Visa )",9366.89
178550,05/02/2026,Cellphone Purchase,2500
178550,05/02/2026,Calculator,200
178550,05/02/2026,Uniforms,1230
178550,05/02/2026,Groceries,1200
178550,05/02/2026,Rent,800
178456,05/02/2026,Cellphone Purchase,2500
178450,05/02/2026,School Bag,350
178450,05/02/2026,Transport ,400
178450,05/02/2026,Stationery,1260
1661,05/02/2026,"School Shirts, Trouser & Shoes",890
1661,05/02/2026,Transport ( Term 1 ),1200
1661,05/02/2026,Lost Book Replacement,1287
1661,05/02/2026,School Fees ( Form 1),5050
1723508,05/02/2026,Educational Trip,1500
1723510,05/02/2026,Educational Trip,1500
1723510,05/02/2026,School Fees ( Form 5 ),750
