MemberNo,TransactionDate,Comments, Amount ,,,,,
1584,29/06/2018,Various Needs Expenses," 4,162.01 ",,,,,
1696,28/06/2018,Educational Tour, 600.00 ,,,,,
1738,27/06/2018,Day care," 1,000.00 ",,,,,
1585,25/06/2018,Tuition & Uniforms," 9,530.00 ",,,,,
1587,22/06/2018,Clothes," 1,500.00 ",,,,,
1644,22/06/2018,Property Rates, 433.45 ,,,,,
1426,22/06/2018,School Jersey & Transport, 380.00 ,,,,,
1675,22/06/2018,School Shoes, 550.00 ,,,,,
1674,22/06/2018,Educational Tour, 280.00 ,,,,,
628,19/06/2018,Clothes and Medical Expenses," 2,954.45 ",,,,,
330,18/06/2018,Trip & Project Money, 380.00 ,,,,,
340,18/06/2018,Trip & Project Money," 1,450.00 ",,,,,
1597,18/06/2018,IDM Registration Fee," 5,000.00 ",,,,,
192,18/06/2018,Various Requirements," 1,800.00 ",,,,,
891,15/06/2018,Passout Outfit," 9,290.00 ",,,,,
1694,15/06/2018,Educational Tour, 600.00 ,,,,,
1693,15/06/2018,Educational Tour, 600.00 ,,,,,
1731,15/06/2018,Late Payment Penalty, 250.00 ,,,,,
1655,15/06/2018,Various Items," 2,379.39 ",,,,,
741,15/06/2018,Clothes & Toilet Construction Contribution," 1,752.00 ",,,,,
736,15/06/2018,Clothes & Toilet Construction Contribution," 1,782.00 ",,,,,
84,15/06/2018,Laptop acquisition," 6,000.00 ",,,,,
1615,13/06/2018,Winter Clothes," 1,149.91 ",,,,,
1590,13/06/2018,"Stationery, Text Book & Toiletry", 485.50 ,,,,,
593,11/06/2018,Educational Tour related Expenses," 6,500.00 ",,,,,
588,11/06/2018,Educational Tour related Expenses," 6,500.00 ",,,,,
1550,11/06/2018,"Sneakers, Tour Trip"," 2,941.00 ",,,,,
1678,08/06/2018,Missed School trip/Pocket Money Transaction 16/06/2018, 600.00 ,,,,,
1596,08/06/2018,Past Exam Papers, 818.78 ,,,,,
1725,07/06/2018,School Uniforms," 1,623.95 ",,,,,
1724,07/06/2018,School Uniforms," 1,623.94 ",,,,,
1723,07/06/2018,School Uniforms, 575.96 ,,,,,
1658,07/06/2018,Educational Tour, 200.00 ,,,,,
1681,07/06/2018,Monthly requirements," 7,500.00 ",,,,,
994,05/06/2018,Transport Fares for 6 Months, 900.00 ,,,,,
989,05/06/2018,Transport Fares for 6 Months, 900.00 ,,,,,
1576,04/06/2018,Food Allowance, 350.00 ,,,,,
1575,04/06/2018,Food Allowance, 350.00 ,,,,,
1574,04/06/2018,Food Allowance, 350.00 ,,,,,
1573,04/06/2018,Food Allowance, 350.00 ,,,,,
1741,04/06/2018,Fees & Winter Clothes," 4,858.87 ",,,,,
1673,04/06/2018,Commuting Allowance," 1,000.00 ",,,,,
1675,01/06/2018,Clothes & Transport," 2,336.88 ",,,,,
1674,01/06/2018,Clothes & Transport," 2,779.93 ",,,,,
1597,29/05/2018,IDM Application Fee, 300.00 ,,,,,
1687,29/05/2018,Sustenance," 1,000.00 ",,,,,
1726,22/05/2018,School Fees," 3,650.00 ",,,,,
